pub_ID,pub_year,first_author,source,suborder,family,species,species_OTL,roost_type,pd,country,hemisphere,lat,lon,clim_ID,study_year,mean_year_study,sex,age,date_pre,date_max,date_post,month_num_pre,month_num_max,month_num_post,days_dif,month_pre,month_max,month_post,value_pre_mean,value_pre_SD,pre_n,value_max_mean,value_max_SD,max_n,value_post_mean,value_post_SD,post_n,pre_post,mass_g,abs_diff,abs_vi,rel_diff,lnRR,lnRR_vi,notes,title,ref
1,2022,McGuire,Table 1,Yangochiroptera,Vespertilionidae,Corynorhinus townsendii,Corynorhinus townsendii,cave,,USA,northern,39.27574963,-114.2088393,BSk,2017-2019,2016,Female,,,,,,11,2,91.251,,Nov,Feb,,,,10.3,4.728498705,27,8.99,1.117720895,13,post,8.99,1.31,0.9242,14.57174638,0.136031047,0.008994697,,Lean Mass Dynamics in Hibernating Bats and Implications for Energy and Water Budgets,https://www.journals.uchicago.edu/doi/full/10.1086/720160
1,2022,McGuire,Table 1,Yangochiroptera,Vespertilionidae,Corynorhinus townsendii,Corynorhinus townsendii,cave,,USA,northern,39.27574963,-114.2088393,BSk,2017-2019,2016,Male,,,,,,11,2,91.251,,Nov,Feb,,,,9.22,1.018233765,8,7.88,0.907083238,17,post,7.88,1.34,0.178,17.00507614,0.157047134,0.002304014,,,
2,2023,Power,raw data,Yinpterochiroptera,Rhinolophidae,Rhinolophus ferrumequinum,Rhinolophus ferrumequinum,cave,,UK,northern,51.716667,-2.3,Cfb,2017/2018,2017,Female,,,,,,11,4,152.085,,Nov,Apr,,,,23.98,1.908896465,35,17.85,1.639529065,16,post,17.85,6.13,0.272114493,34.34173669,0.295216641,0.000708331,,Hibernation telomere dynamics in a shifting climate: insights from wild greater horseshoe bats,https://royalsocietypublishing.org/doi/full/10.1098/rspb.2023.1589
2,2023,Power,raw data,Yinpterochiroptera,Rhinolophidae,Rhinolophus ferrumequinum,Rhinolophus ferrumequinum,cave,,UK,northern,51.716667,-2.3,Cfb,2019/2020,2019,Female,,,,,,11,3,121.668,,Nov,Mar,,,,25.53571429,2.328889111,28,18.62,1.90864699,15,post,18.62,6.915714286,0.436566668,37.14132269,0.315841761,0.000997547,,,
2,2023,Power,raw data,Yinpterochiroptera,Rhinolophidae,Rhinolophus ferrumequinum,Rhinolophus ferrumequinum,cave,,UK,northern,51.716667,-2.3,Cfb,2017/2018,2017,Male,,,,,,11,4,152.085,,Nov,Apr,,,,24.124,1.712140181,25,16.79230769,1.100672199,11,post,16.79230769,7.331692308,0.227391441,43.66101695,0.362286289,0.000592057,,,
2,2023,Power,raw data,Yinpterochiroptera,Rhinolophidae,Rhinolophus ferrumequinum,Rhinolophus ferrumequinum,cave,,UK,northern,51.716667,-2.3,Cfb,2019/2020,2019,Male,,,,,,11,3,121.668,,Nov,Mar,,,,23.89565217,1.607720033,23,17.23333333,1.237829642,12,post,17.23333333,6.662318841,0.240066216,38.65949037,0.326851032,0.000626748,,,
3,2023,Medina-Bello,Fig 2,Yangochiroptera,Vespertilionidae,Eptesicus fuscus,Eptesicus fuscus,broad,,Mexico,northern,19.226111,-98.024444,Cwb,2014-2022,2018,Male,,,,,,9,3,182.502,,Sep,Mar,,,,16.14545455,4.341742424,10,13.2,2.494660966,5,post,13.2,2.945454545,3.129739394,22.31404959,0.201421728,0.01437489,,The big brown bat (Eptesicus fuscus) reduces its body mass during winter in a tropical montane ecosystem of central Mexico,https://www.degruyter.com/document/doi/10.1515/mammalia-2022-0031/html?lang=en
4,2023,Langwig,raw data,Yangochiroptera,Vespertilionidae,Myotis lucifugus,Myotis lucifugus,cave,,USA,northern,38.39806961,-78.51664527,Cfa,2011-2022,2016,Both,,,,,,11,3,121.668,,Nov,Mar,,,,7.806666667,1.012151174,9,6.491428571,0.326598632,8,post,6.491428571,1.315238095,0.127161111,20.26115023,0.184495444,0.002184158,,Shifting effects of host physiological condition following pathogen establishment,https://royalsocietypublishing.org/doi/full/10.1098/rsbl.2022.0574
4,2023,Langwig,raw data,Yangochiroptera,Vespertilionidae,Myotis lucifugus,Myotis lucifugus,cave,yes,USA,northern,38.39806961,-78.51664527,Cfa,2011-2022,2016,Both,,,,,,11,3,121.668,,Nov,Mar,,,,7.954807692,0.988759354,52,6.440092593,0.553214051,108,post,6.440092593,1.5147151,0.021634624,23.52008264,0.211233569,0.000365436,pd,,
4,2023,Langwig,raw data,Yangochiroptera,Vespertilionidae,Myotis lucifugus,Myotis lucifugus,cave,,USA,northern,42.72197013,-90.78848481,Dfa,2011-2022,2016,Both,,,,,,11,3,121.668,,Nov,Mar,,,,8.9844,0.999794183,50,7.953333333,1.045817065,3,post,7.953333333,1.031066667,0.384569546,12.96395641,0.121898612,0.006011243,,,
